timestamps,x_array,y_array,z_array
663,-1.5898,3.1405,16.536
664,-1.6145,3.151,14.895
665,-1.205,3.1723,14.757
666,-1.3496,1.7767,17.009
667,-0.88865,0.57116,17.516
668,-0.00203,0.007422,15.349
669,0.66657,-0.24544,12.033
670,1.1665,-0.047022,9.8991
671,0.88669,0.16012,9.2604
672,0.032887,0.33095,9.3107
673,-0.69552,0.31813,9.0622
674,-1.069,0.37721,8.4609
675,-0.7316,0.65274,7.5158
676,-0.30151,0.87093,6.4578
677,0.043239,1.1208,5.421
678,0.19188,1.3747,5.2896
679,0.23966,1.4322,5.6512
680,0.38648,1.4371,6.0033
681,0.56746,1.5413,5.8491
682,0.76548,1.8135,5.455
683,0.83743,2.1235,4.9484
684,0.6856,2.2706,5.0544
685,0.66095,2.246,5.3757
686,0.70403,2.0586,6.5443
687,0.60445,1.9291,8.1472
688,0.78809,2.0557,8.6813
689,1.0332,2.4181,8.5869
690,1.1853,2.5017,8.8734
691,1.1548,2.1159,9.5495
692,1.123,2.1118,10.771
693,1.3156,2.5446,11.518
694,1.1845,3.1647,12.308
695,0.73004,3.4406,14.396
696,0.38222,2.5376,16.361
697,-0.57315,1.8119,17.782
698,-1.6726,1.4235,17.655
699,-1.9648,1.1852,16.34
700,-1.4521,0.99066,14.901
701,-0.90599,0.92941,13.59
702,-0.81015,0.73713,12.112
703,-1.2901,0.48903,10.752
704,-1.7189,0.20873,9.5597
705,-1.6945,-0.015074,8.2531
706,-1.286,-0.12717,6.9251
707,-0.88251,-0.076318,6.349
708,-0.80702,0.038978,6.5747
709,-0.74472,0.12391,6.8157
710,-0.80655,0.14315,6.6681
711,-0.91909,0.24495,6.0472
712,-0.99117,0.46693,5.4429
713,-0.95082,0.65339,4.9138
714,-0.9256,0.89933,4.8316
715,-1.0192,0.94627,4.9089
716,-1.0051,1.0156,5.3594
717,-0.58365,1.1938,6.1117
718,-0.003045,1.2202,7.1261
719,0.19101,1.2577,7.9749
720,0.074757,1.3514,8.0616
721,0.03258,1.472,8.1123
722,0.47812,1.4785,9.5197
723,0.87567,1.4965,11.163
724,1.0969,2.0458,12.118
725,0.99737,2.4954,12.487
726,0.77179,3.2654,13.508
727,0.33682,3.5555,14.638
728,-0.4449,3.0237,15.362
729,-1.2751,2.3981,16.042
730,-1.6072,1.2618,16.757
731,-0.56042,0.46582,16.477
732,0.24481,0.068158,14.487
733,0.5652,0.4201,12.479
734,0.26059,0.69417,11.185
735,-0.30881,0.7493,10.389
736,-0.66296,0.81801,9.56
737,-0.84159,0.89353,8.6616
738,-0.68742,1.178,7.8899
739,-0.58497,1.4136,7.4247
740,-0.3151,1.6355,7.2092
741,-0.046084,1.8087,7.1521
742,0.16379,1.9062,6.9798
743,0.38136,1.9997,6.7169
744,0.50182,2.1089,6.1299
745,0.79318,2.2923,5.4421
746,0.86264,2.8754,3.5296
747,0.70629,2.9806,8.8466
748,0.019115,2.5458,18.633
749,0.11768,2.2741,12.223
750,0.005229,1.456,7.825
751,-1.1826,-0.22031,5.7296
752,0.23664,1.0199,5.5053
753,1.4639,3.207,7.2027
754,-1.4681,4.2672,16.918
755,1.1432,0.80615,14.617
756,-0.58215,2.0539,7.1849
757,0.79385,2.7798,5.5199
758,0.97875,2.4825,2.7439
759,0.88036,2.7947,6.6175
760,0.92582,2.4967,15.308
761,2.0637,2.3425,15.789
762,0.89084,1.1913,9.2477
763,0.65589,0.76769,6.4427
764,0.34219,1.5813,4.8887
765,0.06652,2.1028,5.4807
766,-0.017181,3.2649,15.759
767,0.026576,1.3142,15.244
768,-1.329,1.026,6.7349
769,0.096774,1.2752,5.2143
770,0.24088,2.328,3.7807
771,0.56791,2.197,9.1483
772,1.2779,3.1373,15.226
773,-0.092531,1.0766,16.396
774,0.43588,1.0871,7.9285
775,1.0596,0.35196,7.3499
776,0.37469,0.64235,4.7702
777,0.82371,1.1847,5.4632
778,0.23829,2.0682,12.328
779,-0.74127,2.4929,18.128
780,-0.41868,0.67497,11.001
781,0.43873,0.78674,8.0472
782,0.92911,1.4457,7.5426
783,1.6317,2.3504,6.6835
784,1.9497,1.5263,5.8531
785,1.8532,-0.30034,8.0973
786,0.54064,-0.007614,15.671
787,1.1096,1.087,13.966
788,0.94095,0.32058,8.853
789,1.9176,0.1643,9.6179
790,0.69181,0.72704,11.804
791,-0.49318,1.4818,7.284
792,0.098105,1.7582,4.362
793,0.48318,1.4841,7.5251
794,-0.81773,3.1549,16.904
795,0.10638,2.287,15.804
796,-2.5907,0.71994,9.8569
797,-1.3646,0.17932,6.0467
798,-0.68037,1.7213,3.5789
799,-0.077764,2.8247,5.011
800,0.73199,2.7319,10.141
801,-0.10425,4.3806,15.001
802,-0.15043,1.5706,14.719
803,-1.3292,1.0101,8.2794
804,-0.70411,0.76723,6.6143
805,0.5024,1.4578,3.6869
806,1.26,2.253,4.4643
807,-1.5153,2.4606,15.514
808,-2.4038,0.70152,21.061
809,-1.7118,0.47754,7.9821
810,-0.30294,0.94093,6.4525
811,-0.062537,2.3125,7.1058
812,0.37484,2.9752,6.8867
813,0.94406,2.9902,7.7282
814,-0.76634,2.2296,15.893
815,0.28127,2.2522,12.283
816,0.88789,2.0643,9.7015
817,-0.55789,1.4345,7.055
818,1.1041,1.17,4.3941
819,1.2737,2.3025,6.1954
820,-1.1564,3.506,8.708
